CONFERENCE,TEAM_COUNT,AVG_WIN_PCT,AVG_POINT_DIFF,AVG_PPG,AVG_OPP_PPG
Southeastern Conference,16,0.6024196106,5.81875,82.92966275,77.107385875
Big 12 Conference,16,0.6103244975,5.28125,78.853471875,73.58387975
Atlantic Coast Conference,18,0.592819245,4.877777778,77.882871056,73.019970111
Big Ten Conference,18,0.5928924644,4.683333333,76.834003444,72.148632444
Atlantic 10 Conference,14,0.5625846893,3.421428571,74.782644357,71.339149929
Big East Conference,11,0.56815587,3.227272727,76.559536455,73.360227636
Conference USA,12,0.5232714683,2.833333333,75.643106667,72.804762417
West Coast Conference,12,0.5460269717,2.833333333,75.551902667,72.70691525
Missouri Valley Conference,11,0.5342328982,2.681818182,74.947127273,72.257526182
Ivy League,8,0.5148286038,2.6625,75.892226875,73.2177505
Western Athletic Conference,7,0.53802202,2.471428571,74.395045857,71.897401429
Mountain West Conference,12,0.5436406858,2.441666667,75.768546667,73.323392167
Mid-American Conference,13,0.5205341554,2.246153846,78.165204538,75.908789615
Big South Conference,9,0.4952321439,2.211111111,78.223376222,75.994522222
Big Sky Conference,10,0.489866888,1.85,77.4847084,75.6348816
American Conference,13,0.5254008754,1.8,76.091385846,74.293082154
Coastal Athletic Association,13,0.5255339808,1.746153846,74.550164769,72.795354308
Big West Conference,11,0.5105484864,1.227272727,77.740845545,76.511050545
Southern Conference,10,0.490717281,1.19,77.0335418,75.8587265
Horizon League,11,0.4923484364,0.9272727273,79.210604,78.284440455
Southland Conference,12,0.4785687433,0.9,72.193649,71.29359275
Sun Belt Conference,14,0.5052693914,0.5,74.990886429,74.477918786
Ohio Valley Conference,9,0.50212135,0.3777777778,71.854621778,71.482587333
Summit League,9,0.4794175322,0.2666666667,77.235234667,76.969689333
ASUN Conference,11,0.4452009864,-0.8818181818,77.463850818,78.370375091
Patriot League,10,0.452330984,-1,72.6208775,73.6249214
Metro Atlantic Athletic Conference,13,0.4847531908,-1.076923077,70.038659538,71.117564462
Northeast Conference,10,0.430963291,-2.02,69.6790438,71.6818365
America East Conference,9,0.41731807,-2.311111111,69.798559333,72.098411333
Mid-Eastern Athletic Conference,8,0.3920314887,-4.7,69.93331575,74.6443025
Southwestern Athletic Conference,12,0.4044064092,-4.941666667,72.712962417,77.652786833
