CONFERENCE,TEAM_COUNT,AVG_PPG,AVG_OPP_PPG,AVG_POINT_DIFF,AVG_CALCULATED_MARGIN
Southeastern Conference,16,82.92966275,77.107385875,5.81875,5.822276875
Big 12 Conference,16,78.853471875,73.58387975,5.28125,5.269592125
Atlantic Coast Conference,18,77.882871056,73.019970111,4.877777778,4.862900944
Big Ten Conference,18,76.834003444,72.148632444,4.683333333,4.685371
Atlantic 10 Conference,14,74.782644357,71.339149929,3.421428571,3.443494429
Big East Conference,11,76.559536455,73.360227636,3.227272727,3.199308818
Conference USA,12,75.643106667,72.804762417,2.833333333,2.83834425
West Coast Conference,12,75.551902667,72.70691525,2.833333333,2.844987417
Missouri Valley Conference,11,74.947127273,72.257526182,2.681818182,2.689601091
Ivy League,8,75.892226875,73.2177505,2.6625,2.674476375
Western Athletic Conference,7,74.395045857,71.897401429,2.471428571,2.497644429
Mountain West Conference,12,75.768546667,73.323392167,2.441666667,2.4451545
Mid-American Conference,13,78.165204538,75.908789615,2.246153846,2.256414923
Big South Conference,9,78.223376222,75.994522222,2.211111111,2.228854
Big Sky Conference,10,77.4847084,75.6348816,1.85,1.8498268
American Conference,13,76.091385846,74.293082154,1.8,1.798303692
Coastal Athletic Association,13,74.550164769,72.795354308,1.746153846,1.754810462
Big West Conference,11,77.740845545,76.511050545,1.227272727,1.229795
Southern Conference,10,77.0335418,75.8587265,1.19,1.1748153
Horizon League,11,79.210604,78.284440455,0.9272727273,0.9261635455
Southland Conference,12,72.193649,71.29359275,0.9,0.90005625
Sun Belt Conference,14,74.990886429,74.477918786,0.5,0.5129676429
Ohio Valley Conference,9,71.854621778,71.482587333,0.3777777778,0.3720344444
Summit League,9,77.235234667,76.969689333,0.2666666667,0.2655453333
ASUN Conference,11,77.463850818,78.370375091,-0.8818181818,-0.9065242727
Patriot League,10,72.6208775,73.6249214,-1,-1.0040439
Metro Atlantic Athletic Conference,13,70.038659538,71.117564462,-1.076923077,-1.078904923
Northeast Conference,10,69.6790438,71.6818365,-2.02,-2.0027927
America East Conference,9,69.798559333,72.098411333,-2.311111111,-2.299852
Mid-Eastern Athletic Conference,8,69.93331575,74.6443025,-4.7,-4.71098675
Southwestern Athletic Conference,12,72.712962417,77.652786833,-4.941666667,-4.939824417
