TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,GAME_ROWS,AVG_GAME_MARGIN,AVG_TEAM_SCORE,AVG_OPP_SCORE
2272,High Point Panthers,Big South Conference,0.8611111,18.4,36,18.472222,89.722222,71.250000
2250,Gonzaga Bulldogs,West Coast Conference,0.8857143,18.1,35,18.114286,84.285714,66.171429
150,Duke Blue Devils,Atlantic Coast Conference,0.92105263,18,38,18.000000,81.631579,63.631579
130,Michigan Wolverines,Big Ten Conference,0.925,17.8,40,17.825000,87.325000,69.500000
139,Saint Louis Billikens,Atlantic 10 Conference,0.82857144,16.7,35,16.771429,87.228571,70.457143
12,Arizona Wildcats,Big 12 Conference,0.9230769,16.8,39,16.769231,86.153846,69.384615
66,Iowa State Cyclones,Big 12 Conference,0.7837838,16.4,37,16.351351,81.972973,65.621622
57,Florida Gators,Southeastern Conference,0.7714286,15.6,35,15.600000,87.142857,71.542857
248,Houston Cougars,Big 12 Conference,0.8108108,14.6,37,14.540541,76.864865,62.324324
356,Illinois Fighting Illini,Big Ten Conference,0.7567568,14.4,37,14.459459,83.216216,68.756757
193,Miami (OH) RedHawks,Mid-American Conference,0.9411765,14.1,34,14.147059,89.617647,75.470588
2006,Akron Zips,Mid-American Conference,0.82857144,13.9,35,13.857143,87.857143,74.000000
2377,McNeese Cowboys,Southland Conference,0.8235294,12.9,34,12.882353,79.676471,66.794118
2608,Saint Mary's Gaels,West Coast Conference,0.8181818,12.8,33,12.818182,77.333333,64.515152
97,Louisville Cardinals,Atlantic Coast Conference,0.6857143,11.8,35,11.742857,84.257143,72.514286
58,South Florida Bulls,American Conference,0.7352941,11.8,34,11.735294,87.470588,75.735294
258,Virginia Cavaliers,Atlantic Coast Conference,0.8333333,11.6,36,11.611111,80.444444,68.833333
328,Utah State Aggies,Mountain West Conference,0.8055556,11.5,36,11.444444,82.166667,70.722222
202,Tulsa Golden Hurricane,American Conference,0.7894737,11.4,38,11.421053,85.078947,73.657895
41,UConn Huskies,Big East Conference,0.85,11.4,40,11.400000,76.600000,65.200000
3084,Utah Valley Wolverines,Western Athletic Conference,0.7352941,11.3,34,11.352941,80.117647,68.764706
2599,St. John's Red Storm,Big East Conference,0.8108108,11.3,37,11.270270,80.918919,69.648649
2509,Purdue Boilermakers,Big Ten Conference,0.7692308,11.1,39,11.102564,81.641026,70.538462
158,Nebraska Cornhuskers,Big Ten Conference,0.8,10.9,35,10.828571,76.971429,66.142857
238,Vanderbilt Commodores,Southeastern Conference,0.75,10.7,36,10.750000,85.722222,74.972222
2057,Belmont Bruins,Missouri Valley Conference,0.8125,10.6,32,10.531250,83.875000,73.343750
127,Michigan State Spartans,Big Ten Conference,0.7714286,10.5,35,10.457143,78.800000,68.342857
43,Yale Bulldogs,Ivy League,0.7741935,10.4,31,10.419355,81.290323,70.870968
2426,Navy Midshipmen,Patriot League,0.7647059,10.3,34,10.294118,74.617647,64.323529
167,New Mexico Lobos,Mountain West Conference,0.7027027,10.3,37,10.270270,81.189189,70.918919
2390,Miami Hurricanes,Atlantic Coast Conference,0.74285716,10.2,35,10.257143,81.514286,71.257143
2900,St. Thomas-Minnesota Tommies,Summit League,0.7058824,10.2,34,10.205882,81.764706,71.558824
2449,North Dakota State Bison,Summit League,0.7714286,10.1,35,10.114286,80.342857,70.228571
2541,Santa Clara Broncos,West Coast Conference,0.74285716,10,35,9.971429,82.885714,72.914286
2617,Stephen F. Austin Lumberjacks,Southland Conference,0.8235294,10,34,9.970588,76.588235,66.617647
189,Bowling Green Falcons,Mid-American Conference,0.5625,9.7,32,9.750000,81.312500,71.562500
61,Georgia Bulldogs,Southeastern Conference,0.6666667,9.6,33,9.575758,89.424242,79.848485
2633,Tennessee Volunteers,Southeastern Conference,0.6756757,9.2,37,9.270270,78.837838,69.567568
8,Arkansas Razorbacks,Southeastern Conference,0.7567568,9.2,37,9.162162,90.189189,81.027027
2670,VCU Rams,Atlantic 10 Conference,0.7777778,9,36,9.055556,80.833333,71.777778
62,Hawai'i Rainbow Warriors,Big West Conference,0.72727275,9.1,33,9.030303,79.575758,70.545455
2378,UMBC Retrievers,America East Conference,0.72727275,8.8,33,8.848485,76.424242,67.575758
2275,Hofstra Pride,Coastal Athletic Association,0.6857143,8.8,35,8.714286,75.457143,66.742857
300,UC Irvine Anteaters,Big West Conference,0.6571429,8.7,35,8.628571,77.257143,68.628571
333,Alabama Crimson Tide,Southeastern Conference,0.71428573,8.5,35,8.457143,91.200000,82.742857
47,Howard Bison,Mid-Eastern Athletic Conference,0.6857143,8.7,36,8.388889,75.611111,67.222222
2193,East Tennessee State Buccaneers,Southern Conference,0.6764706,8.3,34,8.294118,77.588235,69.294118
2294,Iowa Hawkeyes,Big Ten Conference,0.6486486,8.2,37,8.270270,74.540541,66.270270
350,UNC Wilmington Seahawks,Coastal Athletic Association,0.7941176,8.3,34,8.264706,76.294118,68.029412
2737,Winthrop Eagles,Big South Conference,0.6764706,8.1,34,8.176471,83.647059,75.470588
2046,Austin Peay Governors,ASUN Conference,0.7096774,8.4,32,8.156250,79.062500,70.906250
252,BYU Cougars,Big 12 Conference,0.6571429,8.1,35,8.114286,83.542857,75.428571
153,North Carolina Tar Heels,Atlantic Coast Conference,0.72727275,8.1,33,8.090909,79.727273,71.636364
2460,Northern Iowa Panthers,Missouri Valley Conference,0.6388889,7.6,36,7.694444,69.444444,61.750000
2724,Wichita State Shockers,American Conference,0.6666667,7.3,36,7.333333,78.083333,70.750000
21,San Diego State Aztecs,Mountain West Conference,0.6666667,7.2,33,7.212121,78.181818,70.969697
2382,Mercer Bears,Southern Conference,0.59375,7.2,32,7.187500,82.687500,75.500000
2335,Liberty Flames,Conference USA,0.7647059,7.2,34,7.176471,77.676471,70.500000
2641,Texas Tech Red Raiders,Big 12 Conference,0.6764706,7.2,34,7.176471,80.264706,73.088235
45,George Washington Revolutionaries,Atlantic 10 Conference,0.54285717,7.2,35,7.171429,81.371429,74.200000
245,Texas A&M Aggies,Southeastern Conference,0.64705884,7.2,34,7.147059,86.088235,78.941176
2534,Sam Houston Bearkats,Conference USA,0.64705884,7.2,34,7.147059,82.264706,75.117647
228,Clemson Tigers,Atlantic Coast Conference,0.6857143,7.1,35,7.028571,73.771429,66.742857
2253,Grand Canyon Lopes,Mountain West Conference,0.625,6.9,32,6.968750,75.625000,68.656250
152,NC State Wolfpack,Atlantic Coast Conference,0.5882353,6.9,34,6.911765,83.176471,76.264706
275,Wisconsin Badgers,Big Ten Conference,0.6857143,6.9,35,6.857143,82.971429,76.114286
338,Kennesaw State Owls,Conference USA,0.6,6.8,35,6.828571,82.800000,75.971429
2750,Wright State Raiders,Horizon League,0.6571429,6.8,35,6.828571,80.514286,73.685714
194,Ohio State Buckeyes,Big Ten Conference,0.61764705,6.7,34,6.735294,79.323529,72.588235
2630,UT Martin Skyhawks,Ohio Valley Conference,0.6666667,6.6,33,6.606061,69.787879,63.181818
251,Texas Longhorns,Southeastern Conference,0.5833333,6.6,36,6.583333,82.750000,76.166667
147,Montana State Bobcats,Big Sky Conference,0.5625,6.5,32,6.500000,77.906250,71.406250
292,UT Rio Grande Valley Vaqueros,Southland Conference,0.57575756,6.4,33,6.424242,75.909091,69.484848
2502,Portland State Vikings,Big Sky Conference,0.6451613,6.3,31,6.354839,76.645161,70.290323
2565,SIU Edwardsville Cougars,Ohio Valley Conference,0.59375,6.3,32,6.281250,70.968750,64.687500
96,Kentucky Wildcats,Southeastern Conference,0.6111111,6.2,36,6.166667,80.500000,74.333333
2287,Illinois State Redbirds,Missouri Valley Conference,0.6388889,6.2,36,6.166667,74.666667,68.500000
2567,SMU Mustangs,Atlantic Coast Conference,0.5882353,6.2,34,6.117647,84.058824,77.941176
