TEAM_ID,TEAM_NAME,CONFERENCE,WIN_PCT,POINT_DIFF,AVG_GAME_MARGIN
2272,High Point Panthers,Big South Conference,0.8611111,18.4,18.472222
2250,Gonzaga Bulldogs,West Coast Conference,0.8857143,18.1,18.114286
150,Duke Blue Devils,Atlantic Coast Conference,0.92105263,18,18.000000
130,Michigan Wolverines,Big Ten Conference,0.925,17.8,17.825000
139,Saint Louis Billikens,Atlantic 10 Conference,0.82857144,16.7,16.771429
12,Arizona Wildcats,Big 12 Conference,0.9230769,16.8,16.769231
66,Iowa State Cyclones,Big 12 Conference,0.7837838,16.4,16.351351
57,Florida Gators,Southeastern Conference,0.7714286,15.6,15.600000
248,Houston Cougars,Big 12 Conference,0.8108108,14.6,14.540541
356,Illinois Fighting Illini,Big Ten Conference,0.7567568,14.4,14.459459
193,Miami (OH) RedHawks,Mid-American Conference,0.9411765,14.1,14.147059
2006,Akron Zips,Mid-American Conference,0.82857144,13.9,13.857143
2377,McNeese Cowboys,Southland Conference,0.8235294,12.9,12.882353
2608,Saint Mary's Gaels,West Coast Conference,0.8181818,12.8,12.818182
97,Louisville Cardinals,Atlantic Coast Conference,0.6857143,11.8,11.742857
58,South Florida Bulls,American Conference,0.7352941,11.8,11.735294
258,Virginia Cavaliers,Atlantic Coast Conference,0.8333333,11.6,11.611111
328,Utah State Aggies,Mountain West Conference,0.8055556,11.5,11.444444
202,Tulsa Golden Hurricane,American Conference,0.7894737,11.4,11.421053
41,UConn Huskies,Big East Conference,0.85,11.4,11.400000
3084,Utah Valley Wolverines,Western Athletic Conference,0.7352941,11.3,11.352941
2599,St. John's Red Storm,Big East Conference,0.8108108,11.3,11.270270
2509,Purdue Boilermakers,Big Ten Conference,0.7692308,11.1,11.102564
158,Nebraska Cornhuskers,Big Ten Conference,0.8,10.9,10.828571
238,Vanderbilt Commodores,Southeastern Conference,0.75,10.7,10.750000
2057,Belmont Bruins,Missouri Valley Conference,0.8125,10.6,10.531250
127,Michigan State Spartans,Big Ten Conference,0.7714286,10.5,10.457143
43,Yale Bulldogs,Ivy League,0.7741935,10.4,10.419355
2426,Navy Midshipmen,Patriot League,0.7647059,10.3,10.294118
167,New Mexico Lobos,Mountain West Conference,0.7027027,10.3,10.270270
2390,Miami Hurricanes,Atlantic Coast Conference,0.74285716,10.2,10.257143
2900,St. Thomas-Minnesota Tommies,Summit League,0.7058824,10.2,10.205882
2449,North Dakota State Bison,Summit League,0.7714286,10.1,10.114286
