TEAM_ID,TEAM_NAME,CONFERENCE,WINS,LOSSES,WIN_PCT,POINT_DIFF,POINT_DIFF_RANK
2272,High Point Panthers,Big South Conference,31,5,0.8611111,18.4,1
2250,Gonzaga Bulldogs,West Coast Conference,31,4,0.8857143,18.1,2
150,Duke Blue Devils,Atlantic Coast Conference,35,3,0.92105263,18,3
130,Michigan Wolverines,Big Ten Conference,37,3,0.925,17.8,4
12,Arizona Wildcats,Big 12 Conference,36,3,0.9230769,16.8,5
139,Saint Louis Billikens,Atlantic 10 Conference,29,6,0.82857144,16.7,6
66,Iowa State Cyclones,Big 12 Conference,29,8,0.7837838,16.4,7
57,Florida Gators,Southeastern Conference,27,8,0.7714286,15.6,8
248,Houston Cougars,Big 12 Conference,30,7,0.8108108,14.6,9
356,Illinois Fighting Illini,Big Ten Conference,28,9,0.7567568,14.4,10
193,Miami (OH) RedHawks,Mid-American Conference,32,2,0.9411765,14.1,11
2006,Akron Zips,Mid-American Conference,29,6,0.82857144,13.9,12
2377,McNeese Cowboys,Southland Conference,28,6,0.8235294,12.9,13
2608,Saint Mary's Gaels,West Coast Conference,27,6,0.8181818,12.8,14
58,South Florida Bulls,American Conference,25,9,0.7352941,11.8,15
97,Louisville Cardinals,Atlantic Coast Conference,24,11,0.6857143,11.8,15
258,Virginia Cavaliers,Atlantic Coast Conference,30,6,0.8333333,11.6,17
328,Utah State Aggies,Mountain West Conference,29,7,0.8055556,11.5,18
41,UConn Huskies,Big East Conference,34,6,0.85,11.4,19
202,Tulsa Golden Hurricane,American Conference,30,8,0.7894737,11.4,19
2599,St. John's Red Storm,Big East Conference,30,7,0.8108108,11.3,21
3084,Utah Valley Wolverines,Western Athletic Conference,25,9,0.7352941,11.3,22
2509,Purdue Boilermakers,Big Ten Conference,30,9,0.7692308,11.1,23
158,Nebraska Cornhuskers,Big Ten Conference,28,7,0.8,10.9,24
238,Vanderbilt Commodores,Southeastern Conference,27,9,0.75,10.7,25
2057,Belmont Bruins,Missouri Valley Conference,26,6,0.8125,10.6,26
127,Michigan State Spartans,Big Ten Conference,27,8,0.7714286,10.5,27
43,Yale Bulldogs,Ivy League,24,7,0.7741935,10.4,28
167,New Mexico Lobos,Mountain West Conference,26,11,0.7027027,10.3,29
2426,Navy Midshipmen,Patriot League,26,8,0.7647059,10.3,29
2390,Miami Hurricanes,Atlantic Coast Conference,26,9,0.74285716,10.2,31
2900,St. Thomas-Minnesota Tommies,Summit League,24,10,0.7058824,10.2,31
2449,North Dakota State Bison,Summit League,27,8,0.7714286,10.1,33
2617,Stephen F. Austin Lumberjacks,Southland Conference,28,6,0.8235294,10,34
2541,Santa Clara Broncos,West Coast Conference,26,9,0.74285716,10,34
189,Bowling Green Falcons,Mid-American Conference,18,14,0.5625,9.7,36
61,Georgia Bulldogs,Southeastern Conference,22,11,0.6666667,9.6,37
2633,Tennessee Volunteers,Southeastern Conference,25,12,0.6756757,9.2,38
8,Arkansas Razorbacks,Southeastern Conference,28,9,0.7567568,9.2,38
62,Hawai'i Rainbow Warriors,Big West Conference,24,9,0.72727275,9.1,40
2670,VCU Rams,Atlantic 10 Conference,28,8,0.7777778,9,41
2378,UMBC Retrievers,America East Conference,24,9,0.72727275,8.8,42
2275,Hofstra Pride,Coastal Athletic Association,24,11,0.6857143,8.8,43
300,UC Irvine Anteaters,Big West Conference,23,12,0.6571429,8.7,44
47,Howard Bison,Mid-Eastern Athletic Conference,24,11,0.6857143,8.7,44
333,Alabama Crimson Tide,Southeastern Conference,25,10,0.71428573,8.5,46
2046,Austin Peay Governors,ASUN Conference,22,9,0.7096774,8.4,47
350,UNC Wilmington Seahawks,Coastal Athletic Association,27,7,0.7941176,8.3,48
2193,East Tennessee State Buccaneers,Southern Conference,23,11,0.6764706,8.3,48
2294,Iowa Hawkeyes,Big Ten Conference,24,13,0.6486486,8.2,50
153,North Carolina Tar Heels,Atlantic Coast Conference,24,9,0.72727275,8.1,51
252,BYU Cougars,Big 12 Conference,23,12,0.6571429,8.1,52
2737,Winthrop Eagles,Big South Conference,23,11,0.6764706,8.1,52
2460,Northern Iowa Panthers,Missouri Valley Conference,23,13,0.6388889,7.6,54
2724,Wichita State Shockers,American Conference,24,12,0.6666667,7.3,55
45,George Washington Revolutionaries,Atlantic 10 Conference,19,16,0.54285717,7.2,56
2382,Mercer Bears,Southern Conference,19,13,0.59375,7.2,56
2335,Liberty Flames,Conference USA,26,8,0.7647059,7.2,56
2534,Sam Houston Bearkats,Conference USA,22,12,0.64705884,7.2,56
2641,Texas Tech Red Raiders,Big 12 Conference,23,11,0.6764706,7.2,56
21,San Diego State Aztecs,Mountain West Conference,22,11,0.6666667,7.2,56
245,Texas A&M Aggies,Southeastern Conference,22,12,0.64705884,7.2,62
228,Clemson Tigers,Atlantic Coast Conference,24,11,0.6857143,7.1,63
152,NC State Wolfpack,Atlantic Coast Conference,20,14,0.5882353,6.9,64
275,Wisconsin Badgers,Big Ten Conference,24,11,0.6857143,6.9,64
2253,Grand Canyon Lopes,Mountain West Conference,20,12,0.625,6.9,66
338,Kennesaw State Owls,Conference USA,21,14,0.6,6.8,67
2750,Wright State Raiders,Horizon League,23,12,0.6571429,6.8,67
194,Ohio State Buckeyes,Big Ten Conference,21,13,0.61764705,6.7,69
2630,UT Martin Skyhawks,Ohio Valley Conference,22,11,0.6666667,6.6,70
251,Texas Longhorns,Southeastern Conference,21,15,0.5833333,6.6,70
147,Montana State Bobcats,Big Sky Conference,18,14,0.5625,6.5,72
292,UT Rio Grande Valley Vaqueros,Southland Conference,19,14,0.57575756,6.4,73
2565,SIU Edwardsville Cougars,Ohio Valley Conference,19,13,0.59375,6.3,74
2502,Portland State Vikings,Big Sky Conference,20,11,0.6451613,6.3,74
96,Kentucky Wildcats,Southeastern Conference,22,14,0.6111111,6.2,76
2287,Illinois State Redbirds,Missouri Valley Conference,23,13,0.6388889,6.2,76
2110,Central Arkansas Bears,ASUN Conference,22,12,0.64705884,6.2,76
2567,SMU Mustangs,Atlantic Coast Conference,20,14,0.5882353,6.2,79
2653,Troy Trojans,Sun Belt Conference,22,12,0.64705884,6.1,80
26,UCLA Bruins,Big Ten Conference,24,12,0.6666667,6,81
2305,Kansas Jayhawks,Big 12 Conference,24,11,0.6857143,6,81
84,Indiana Hoosiers,Big Ten Conference,18,14,0.5625,6,81
2458,Northern Colorado Bears,Big Sky Conference,20,12,0.625,6,81
2368,Marist Red Foxes,Metro Atlantic Athletic Conference,19,12,0.61290324,5.9,85
2026,App State Mountaineers,Sun Belt Conference,19,13,0.59375,5.9,85
2634,Tennessee State Tigers,Ohio Valley Conference,23,10,0.6969697,5.9,87
222,Villanova Wildcats,Big East Conference,24,9,0.72727275,5.9,87
2032,Arkansas State Red Wolves,Sun Belt Conference,20,12,0.625,5.8,89
94,Northern Kentucky Norse,Horizon League,20,14,0.5882353,5.6,90
2244,George Mason Patriots,Atlantic 10 Conference,23,10,0.6969697,5.5,91
231,Furman Paladins,Southern Conference,22,13,0.62857145,5.5,91
2132,Cincinnati Bearcats,Big 12 Conference,18,15,0.54545456,5.5,91
201,Oklahoma Sooners,Southeastern Conference,21,16,0.5675676,5.5,91
28,UC San Diego Tritons,Big West Conference,23,11,0.6764706,5.4,95
5,UAB Blazers,American Conference,20,12,0.625,5.4,95
2729,William & Mary Tribe,Coastal Athletic Association,20,12,0.625,5.4,97
2628,TCU Horned Frogs,Big 12 Conference,23,12,0.6571429,5.3,98
2523,Robert Morris Colonials,Horizon League,22,11,0.6666667,5.3,98
239,Baylor Bears,Big 12 Conference,17,17,0.5,5.3,100
2550,Seton Hall Pirates,Big East Conference,21,12,0.6363636,5.1,101
70,Idaho Vandals,Big Sky Conference,21,15,0.5833333,5.1,101
172,Cornell Big Red,Ivy League,15,13,0.53571427,5.1,101
2856,California Baptist Lancers,Western Athletic Conference,25,9,0.7352941,5,104
25,California Golden Bears,Atlantic Coast Conference,22,12,0.64705884,4.9,105
2754,Youngstown State Penguins,Horizon League,15,17,0.46875,4.9,105
2348,Louisiana Tech Bulldogs,Conference USA,20,14,0.5882353,4.9,105
82,UIC Flames,Missouri Valley Conference,19,16,0.54285717,4.9,105
261,Vermont Catamounts,America East Conference,22,12,0.64705884,4.9,105
171,Columbia Lions,Ivy League,16,12,0.5714286,4.9,110
277,West Virginia Mountaineers,Big 12 Conference,21,14,0.6,4.9,110
2547,Seattle U Redhawks,West Coast Conference,21,14,0.6,4.8,112
2540,UC Santa Barbara Gauchos,Big West Conference,18,14,0.5625,4.8,112
